Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration,Year,num_downloads
Arrorró 'Los Niños Duermen',"Barradas, Carmen","https://imslp.org/wiki/Arrorró_'Los_Niños_Duermen'_(Barradas,_Carmen)",piano,,early 20th century,,,early 20th century,,,13
"""Mrs. Ramsay rose. Lily rose.""","Eisenbrey, Keith","https://imslp.org/wiki/""Mrs._Ramsay_rose._Lily_rose.""_(Eisenbrey,_Keith)",piano,,modern,,2001,modern,,2001,1560
"""My Old Dutch"" Waltz","West, Alfred H.","https://imslp.org/wiki/""My_Old_Dutch""_Waltz_(West,_Alfred_H.)",piano (arranged),E-flat major,early 20th century,,1894,early 20th century,,1894,101
"""The Girl from the Bus Station""","Gonzaga, Thales","https://imslp.org/wiki/""The_Girl_from_the_Bus_Station""_(Gonzaga,_Thales)",orchestra,"B minor, C ♯ minor (New Edition)",modern,,2022-24,modern,5,2022,331
"""Los ojos tiernos""","Esnaola, Juan Pedro","https://imslp.org/wiki/""Los_ojos_tiernos""_(Esnaola,_Juan_Pedro)",piano,F major,romantic,,1837,romantic,2,1837,727
"""Trip-O-Let"" Dance","Hamilton, Jesse J.","https://imslp.org/wiki/""Trip-O-Let""_Dance_(Hamilton,_Jesse_J.)",guitar,,early 20th century,,,romantic,,,1450
"""Und ich sah ..."", Op.59","Salbert, Dieter","https://imslp.org/wiki/""Und_ich_sah_..."",_Op.59_(Salbert,_Dieter)","organ, soprano",,modern,,1969-70,modern,25,1969,326
"""Urlicht""","Mahler, Gustav","https://imslp.org/wiki/""Urlicht""_(Mahler,_Gustav)","chorus, orchestra, voices",,romantic,,"1888-94, rev.1903",romantic,90,1888,155322
"""of being a self in a song""","Feng, Thomas","https://imslp.org/wiki/""of_being_a_self_in_a_song""_(Feng,_Thomas)",piano,,modern,,2016-17,modern,3,2016,669
"""Tagh of Awakening""","Hakobjanyan, Anna","https://imslp.org/wiki/""Tagh_of_Awakening""_(Hakobjanyan,_Anna)",orchestra,,modern,,2022,modern,18,2022,1243
"""un solo quarto d'ora""","Paër, Ferdinando","https://imslp.org/wiki/""un_solo_quarto_d'ora""_(Paër,_Ferdinando)","orchestra, voices",,classical,,,classical,,,135
"""s'kommt ein Vogel geflogen""","Ochs, Siegfried","https://imslp.org/wiki/""s'kommt_ein_Vogel_geflogen""_(Ochs,_Siegfried)","military bands, orchestra, piano, piano 4-hands, salon orchestra",,romantic,,,romantic,,,3208
'12' Short Pieces,"Wesley, Samuel","https://imslp.org/wiki/'12'_Short_Pieces_(Wesley,_Samuel)",organ,,classical,,,classical,,,4367
$naFU,"Bohn, James","https://imslp.org/wiki/$naFU_(Bohn,_James)","clarinet, flute, piano, violin",,modern,,2009,modern,12,2009,218
'4-4-8' Claves Quartet,"Shannon, William R.","https://imslp.org/wiki/'4-4-8'_Claves_Quartet_(Shannon,_William_R.)",claves (4 players),,modern,,2004 rev. 2015,modern,5,2004,2041
'A Grotta 'e Pozzulo,"Nutile, Emmanuele","https://imslp.org/wiki/'A_Grotta_'e_Pozzulo_(Nutile,_Emmanuele)","piano, voice",C major,romantic,,,romantic,4,,35
'A Margarita,"Caccavale, Giuseppe","https://imslp.org/wiki/'A_Margarita_(Caccavale,_Giuseppe)","piano, voice",B-flat major,romantic,,,romantic,3,,61
'A Napulitana,"Costa, Pasquale Mario","https://imslp.org/wiki/'A_Napulitana_(Costa,_Pasquale_Mario)","piano, voice",C major,romantic,,,romantic,3,,72
'A bella d''e belle,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_bella_d''e_belle_(Di_Chiara,_Vincenzo)","piano, voice",F minor,romantic,,,early 20th century,3,,976
'A cafettera,"Segrè, Raffaele","https://imslp.org/wiki/'A_cafettera_(Segrè,_Raffaele)","piano, voice",C major,romantic,,,romantic,3,,46
'A buscia,"Taranto, Guido","https://imslp.org/wiki/'A_buscia_(Taranto,_Guido)","piano, voice",C major,romantic,,,romantic,3,,103
'A cafettera,Albertin,https://imslp.org/wiki/'A_cafettera_(Albertin),"piano, voice",B-flat major,romantic,,,romantic,3,,626
'A cafona,"Fragna, Luigi","https://imslp.org/wiki/'A_cafona_(Fragna,_Luigi)","piano, voice",D major,romantic,,,romantic,3,,67
'A cagnacavalle,Albertin,https://imslp.org/wiki/'A_cagnacavalle_(Albertin),"piano, voice",A major,romantic,,,romantic,,,231
'A cammisa affatata,"Valente, Vincenzo","https://imslp.org/wiki/'A_cammisa_affatata_(Valente,_Vincenzo)","piano, voice",E minor,romantic,,,romantic,3,,117
'A calamita,"Von Calged, Kosta","https://imslp.org/wiki/'A_calamita_(Von_Calged,_Kosta)","piano, voice",F major,romantic,,,romantic,4,,256
'A capera,"Liucci, Giacinto","https://imslp.org/wiki/'A_capera_(Liucci,_Giacinto)","piano, voice",F minor,romantic,,,romantic,3,,187
'A cammurrestella,"Cangiullo, Francesco","https://imslp.org/wiki/'A_cammurrestella_(Cangiullo,_Francesco)","piano, voice",G major,early 20th century,,,early 20th century,3,,272
'A cchiù bella figliola!,"De Curtis, Giambattista","https://imslp.org/wiki/'A_cchiù_bella_figliola!_(De_Curtis,_Giambattista)","piano, voice",A minor,early 20th century,,,romantic,3,,299
'A cartulina,"Criscuolo, Luigi","https://imslp.org/wiki/'A_cartulina_(Criscuolo,_Luigi)","piano, voice",C major,romantic,,,romantic,,,96
'A casa d''e fate,"Sava, Raffaele","https://imslp.org/wiki/'A_casa_d''e_fate_(Sava,_Raffaele)","piano, voice",E major,romantic,,,romantic,2,,105
'A canzone d''e cucchiere,"D'Arienzo, Nicola","https://imslp.org/wiki/'A_canzone_d''e_cucchiere_(D'Arienzo,_Nicola)","piano, voice",A minor,romantic,,,early 20th century,3,,117
'A chianchera,"Berruti, Giuseppe","https://imslp.org/wiki/'A_chianchera_(Berruti,_Giuseppe)","piano, voice",C major,romantic,,,romantic,3,,30
'A chiava masculina!...,"Musella, Roberto","https://imslp.org/wiki/'A_chiava_masculina!..._(Musella,_Roberto)","piano, voice",F minor,romantic,,,early 20th century,5,,161
'A chiavetella,"Finamore, Francesco","https://imslp.org/wiki/'A_chiavetella_(Finamore,_Francesco)","piano, voice",B-flat major,romantic,,,romantic,3,,114
'A ciucculata,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_ciucculata_(Di_Chiara,_Vincenzo)","piano, voice",G minor,romantic,,,early 20th century,3,,193
'A chiena e 'a vacanta,"Valente, Vincenzo","https://imslp.org/wiki/'A_chiena_e_'a_vacanta_(Valente,_Vincenzo)","piano, voice",E-flat major,romantic,,,romantic,3,,88
'A cura 'e mammà,"De Gregorio, Giuseppe","https://imslp.org/wiki/'A_cura_'e_mammà_(De_Gregorio,_Giuseppe)","piano, voice",G major,romantic,,,romantic,5,,480
'A farenara,"Gramegna, Pasquale","https://imslp.org/wiki/'A_farenara_(Gramegna,_Pasquale)","piano, voice",A minor,romantic,,,romantic,3,,34
'A femmena,"Chiarolanza, Giuseppe","https://imslp.org/wiki/'A_femmena_(Chiarolanza,_Giuseppe)","piano, voice",B-flat major,romantic,,,romantic,3,,45
'A femmena,"Taranto, Guido","https://imslp.org/wiki/'A_femmena_(Taranto,_Guido)","piano, voice",C minor,romantic,,,romantic,3,,42
'A funicular''e Muntesanto,"Caccavale, Giuseppe","https://imslp.org/wiki/'A_funicular''e_Muntesanto_(Caccavale,_Giuseppe)","piano, voice",F major,romantic,,,romantic,3,,34
'A festa d''e giglie,"Gragnano, G.","https://imslp.org/wiki/'A_festa_d''e_giglie_(Gragnano,_G.)","piano, voice",D major,romantic,,,romantic,3,,40
'A funiculare 'e Montesanto,"D'Ambrosio, Francesco","https://imslp.org/wiki/'A_funiculare_'e_Montesanto_(D'Ambrosio,_Francesco)","piano, voice",C major,romantic,,1891 ca.,romantic,4,1891,394
'A gallaria nova,"Mantegna, L.","https://imslp.org/wiki/'A_gallaria_nova_(Mantegna,_L.)","piano, voice",E-flat major,romantic,,1890 ca.,romantic,3,1890,40
'A gelosia,"Nutile, Emmanuele","https://imslp.org/wiki/'A_gelosia_(Nutile,_Emmanuele)","piano, voice",F major,romantic,,,romantic,5,,409
'A giurnalista,"Raimondi, Alfonso","https://imslp.org/wiki/'A_giurnalista_(Raimondi,_Alfonso)","piano, voice",E-flat major,romantic,,,romantic,3,,41
'A grott'azzurra,"Di Capua, Eduardo","https://imslp.org/wiki/'A_grott'azzurra_(Di_Capua,_Eduardo)","piano, voice",E major,romantic,,,romantic,4,,144
'A lavannara,"Siragusa, Antonio","https://imslp.org/wiki/'A_lavannara_(Siragusa,_Antonio)","piano, voice",E major,romantic,,,romantic,3,,145
'A leggia d''o revolvere,"Guida, Prospero","https://imslp.org/wiki/'A_leggia_d''o_revolvere_(Guida,_Prospero)","piano, voice",F major,romantic,,,romantic,3,,106
'A maestrina,Albertin,https://imslp.org/wiki/'A_maestrina_(Albertin),"piano, voice",F major,romantic,,,romantic,3,,155
'A luntananza,"Di Capua, Eduardo","https://imslp.org/wiki/'A_luntananza_(Di_Capua,_Eduardo)","piano, voice",G major,romantic,,,romantic,4,,672
'A maruzza,"Marino, Carmine","https://imslp.org/wiki/'A_maruzza_(Marino,_Carmine)","piano, voice",D major,romantic,,,romantic,3,,151
'A mpignatora,"Cavuoto, Antonio","https://imslp.org/wiki/'A_mpignatora_(Cavuoto,_Antonio)","piano, voice",D major,romantic,,,romantic,3,,99
'A mmaretata,"Erra, Arturo","https://imslp.org/wiki/'A_mmaretata_(Erra,_Arturo)","piano, voice",G minor,romantic,,,romantic,3,,35
'A mugliera ca primm''e spusà!!,"Di Capua, Eduardo","https://imslp.org/wiki/'A_mugliera_ca_primm''e_spusà!!_(Di_Capua,_Eduardo)","piano, voice",G minor,romantic,,,romantic,3,,115
'A nepota 'e don Camillo,"Taranto, Guido","https://imslp.org/wiki/'A_nepota_'e_don_Camillo_(Taranto,_Guido)","piano, voice",E minor,early 20th century,,,romantic,3,,37
'A gajola,"Viscardi, Pasquale","https://imslp.org/wiki/'A_gajola_(Viscardi,_Pasquale)","piano, voice",C major,romantic,,,romantic,3,,126
'A nzalatara,"Fulvio, Mario","https://imslp.org/wiki/'A_nzalatara_(Fulvio,_Mario)","piano, voice",G major,romantic,,,romantic,2,,170
'A neve 'a ne'!,"Miccio, Emanuele","https://imslp.org/wiki/'A_neve_'a_ne'!_(Miccio,_Emanuele)","piano, voice",D minor,romantic,,,romantic,4,,37
'A panettera,"Fragna, Luigi","https://imslp.org/wiki/'A_panettera_(Fragna,_Luigi)","piano, voice",F major,romantic,,,romantic,3,,43
'A partenza d''e marenare,"Fanti, Carlo","https://imslp.org/wiki/'A_partenza_d''e_marenare_(Fanti,_Carlo)","comments), piano (see below, trumpet, voice",A major,romantic,,,romantic,3,,30
